"Name","Tab","Quantity","Price","Total"
"Corpses in adjacent Graves and this Corpse have their crafting outcomes randomised when this Corpse is buried - 80","32032137","36","3.8","136.79999999999998"
"Corpses in adjacent Graves and this Corpse have their crafting outcomes randomised when this Corpse is buried - 70","32032166","6","1","6"
"Cold Modifiers are 300% scarcer - 80","32032127","9","4.9","44.1"
"Chaos Modifiers are 300% scarcer - 80","32032132","4","5","20"
"Chaos Modifiers are 300% scarcer - 1","32032137","1","2","2"
"Caster Modifiers are 150% scarcer - 80","32032132","7","4","28"
"Caster Modifiers are 150% scarcer - 70","32032127","2","1","2"
"Attribute Modifiers are 300% scarcer - 80","32032132","5","10","50"
"Attribute Modifiers are 300% scarcer - 70","32032132","1","4","4"
"Attack Modifiers are 150% scarcer - 80","32032128","4","6.1","24.4"
"Armour can roll Haunted Modifiers, 150% increased chance of Haunted Modifiers - 80","32032137","11","4","44"
"Armour can roll Haunted Modifiers, 150% increased chance of Haunted Modifiers - 70","32032137","4","1","4"
"Armour can roll Haunted Modifiers, 150% increased chance of Haunted Modifiers - 1","32032137","1","1","1"
"Armour can roll Haunted Modifiers, 50% increased chance of Haunted Modifiers - 70","32032137","2","3","6"
"-1 Explicit Modifiers - 80","32032128","9","3.6","32.4"
"-1 Explicit Modifiers - 70","32032128","3","1","3"
"-1 Explicit Modifiers - 1","32032127","2","1","2"
"+50 to Modifier Tier Rating - 80","43577710","4","5","20"
"+5% to Quality, up to 30% - 80","32032127","37","2.6","96.2"
"+5% to Quality, up to 30% - 70","32032127","4","1","4"
"+1 to minimum number of Linked Sockets, up to a maximum of 5 - 80","32032128","9","2","18"
"+1 to minimum number of Linked Sockets, up to a maximum of 5 - 70","32032128","4","1","4"
"+1 to minimum number of Linked Sockets, up to a maximum of 5 - 1","32032132","1","1","1"
"+1 to Item Level - 80","32032127","50","4","200"
"+1 to Item Level - 70","32032127","4","1","4"
"+1 to Item Level - 1","32032132","1","1","1"
"+1 Explicit Modifier - 80","32032127","61","2.6","158.6"
"+1 Explicit Modifier - 70","32032127","7","2","14"
"+1 Explicit Modifier - 1","32032128","2","1","2"
